CompanyNumber,NiceName,CompanyStatus
07395058,"The Artistic Fellowship of St Francis of Paola CIC",Active
06664210,"The Arts Poole Community Interest Company",Active
07686009,"The Asian Lottery C.I.C.",Active
07165949,"The Asparagus Festival Community Interest Company",Active
07890551,"The Association for African Owned Enterprises CIC",Active
07903754,"The Association of Bikeability Schemes CIC",Active
07823980,"The Association of Synergy Coaching Community Interest Company",Active
08081012,"The Away Foundation C.I.C.",Active
06942696,"The B-Live Foundation CIC",Liquidation
06634859,"The Baby Book C.i.c.",Active
07704075,"The Bakers' Table Community Interest Company",Active
08006743,"The Balloons Project CIC",Active
07032114,"The Barton Hill Animal Assisted Therapy Centre Community Interest Company",Active
08024863,"The Beacon of Hope Eco Heritage Trust Cic",Active
07089770,"The Beautiful Splint Company CIC",Active
07667075,"The Best (Iow) CIC",Active
07612132,"The Big Academy Community Interest Company","Active - Proposal to Strike off"
08049171,"The Big Fellowship Community Interest Company",Active
07500390,"The Big Green Picnic C.i.c.",Active
07621475,"The Big Green Society Cic",Active
07554028,"The Big Hoo-Ha Co Community Interest Company",Active
06045786,"The Big Lemon C.i.c",Active
07916849,"The Big Skill C.I.C.",Active
07781678,"The Big Society Bubble CIC",Active
05964142,"The Bike Rescue Project CIC",Active
07471157,"The Black Belt Code Community Interest Company",Active
07693078,"The Blue Room Nailsea Community Interest Company",Active
07628600,"The Blurt Foundation C.I.C.",Active
06786411,"The Boathouse Project Community Interest Company",Active
06851595,"The Body English C.i.c",Active
06925272,"The Box.tv (Bolton) Community Interest Company",Active
06201528,"The Bridge Collective C.I.C.",Active
07403867,"The Bridge Creative Agency C.i.c.",Active
06911850,"The Bridge Horticulture Community Interest Company",Active
06638355,"The Bridge Inn Trust CIC","Active - Proposal to Strike off"
07831353,"The Bridge-East Greenwich CIC",Active
07533303,"The Brink Cafe C.I.C.",Active
07937224,"The Bristol Shakespeare Festival CIC",Active
06421597,"The Bromham Millers Community Interest Company",Active
05899179,"The Bryn Trading Post Community Interest Company",Active
07255050,"The Buddy Scheme C.I.C.",Active
06272206,"The Bulmer Foundation Trading Community Interest Company",Active
05176821,"The Bumblebee Alliance C.I.C.",Active
06445406,"The Bunbury Banter Theatre Company CIC",Active
08077372,"The Business Collective Brokerage Community Interest Company",Active
07664746,"The Butterfly Scheme CIC",Active
07255454,"The Capability Gardening Company Cic",Active
07533046,"The Carbon Reduction Initiative (East) Cic",Active
07450154,"The Care People (South Tyneside) C.I.C.",Active
07807842,"The Carey Academy C.I.C.",Active
07106133,"The Cart Shed CIC",Active
05865325,"The Centre at Mawsley Community Interest Company",Active
04681374,"The Centre for Conflict Transformation C.I.C.",Active
06206740,"The Centre for Micro Business C.I.C.",Active
04052119,"The Centre for Public Innovation Community Interest Company",Active
06988327,"The Centre for Sound Community Interest Company",Active
07423124,"The Centre for Vision in the Developing World C.I.C.",Active
07604995,"The Centre Haverhill Cic",Active
07604936,"The Centre Ipswich CIC","Active - Proposal to Strike off"
04927299,"The Centre of Excellence in Digital Technology and Media Community Interest Company",Liquidation
07611837,"The Centre West Suffolk Cic",Active
07578362,"The Change Collective Community Interest Company",Active
07422755,"The Change Consortium C.I.C.",Active
07224109,"The Chapelfield Foundation Cic",Active
04568353,"The Charity Line Community Interest Company",Active
07449255,"The Children's Food Trust Trading CIC",Active
06714987,"The Children's Science of Reading Community Interest Company","Active - Proposal to Strike off"
07476361,"The Chipping Norton Festival Community Interest Company",Active
07650343,"The Circus House Community Interest Company",Active
07569083,"Citizen Engagement C.I.C.",Active
SC412439,"The Clipperton Project Community Interest Company",Active
SC006731,"The Clyde Football Club CIC",Active
07770357,"The Collaborative Procurement Hub C.I.C.",Active
07635044,"The College for International Citizenship CIC",Active
07533649,"The Combat Academy Cic",Active
07512959,"The Comet Toolbox Cic",Active
07980438,"The Comic Maths Community Interest Company",Active
07159622,"The Community Acupuncture C.I.C.",Active
07264912,"The Community Brain C.I.C.",Active
08031567,"The Community Dream Team Cic",Active
07740737,"The Community Equipment Code of Practice Scheme C.I.C.",Active
07694490,"The Community Experience Company Cic",Active
07164737,"The Community Gateway CIC",Active
07412802,"The Community Matters Partnership C.I.C.",Active
05419476,"Community Newspaper Support C.I.C.",Active
07376915,"The Community Pool C.I.C.",Active
07658940,"The Cookery School and Kitchen, CIC",Active
07255124,"The Cooking Rooms Community Interest Company",Active
06597085,"The Cooking Village Community Interest Company",Active
07434339,"The Cornerstone Advocacy Project Community Interest Company",Active
07458970,"The Cornerstone Community Project Cic",Active
07464795,"The Counselling Cooperative C.i.c.",Active
08059605,"The Courtyard Cafe Horsforth CIC",Active
06379896,"The Create Foundation CIC",Liquidation
06951422,"The Creative Development Project Community Interest Company",Active
07532570,"The Creative Eye Initiative CIC",Active
06857368,"The Creative Seed CIC",Active
06702710,"The Croft Tearoom Community Interest Company",Active
06940789,"The Cultural Group Community Interest Company",Active
07694195,"The Cycle Training Alliance CIC","Active - Proposal to Strike off"
07267440,"The Darwen Art Gallery Community Interest Company","Active - Proposal to Strike off"
06898997,"The Dent Folk Festival Community Interest Company",Active
07260843,"The Descendants Association Community Interest Company","Active - Proposal to Strike off"
07671783,"The Devon Carousel Project C.I.C.",Active
07737010,"Disabled Golf Society C.I.C.",Active
NI610848,"The Dojo Community Martial Arts Centre CIC",Active
06832831,"The Donor Transplant Education Group Community Interest Company",Active
SC327565,"The Dornoch Area Community Interest Company",Active
07557556,"The Dragonfly Project C.I.C.",Active
07583730,"The Driving Consultants Community Interest Company","Active - Proposal to Strike off"
07534872,"The Dunham Rose C.i.c.","Active - Proposal to Strike off"
07869371,"The Ealing Club CIC",Active
07682223,"The Earth Awards C.I.C.",Active
08010674,"The Earth Foundation CIC",Active
06795669,"The East Anglian Fighting Arts Organisation CIC","Active - Proposal to Strike off"
06046834,"The East of England Faiths Agency C.I.C.",Active
06531356,"The Eastbourne Festival Community Interest Company",Active
SC416179,"The Emerge Agency C.I.C.",Active
08016176,"The Enterprise Bridge Community Interest Company",Active
06754048,"The Enterprise Partnership (UK) Community Interest Company",Active
06645183,"The Entrepreneurial Club Community Interest Company",Active
07976787,"The Environmental Quality Mark Community Interest Company",Active
07311882,"The Ethical Small Traders Association CIC",Active
05964023,"The Expert Patients Programme Community Interest Company",Active
04439091,"The Fair Play Partnership C.i.c",Liquidation
06271410,"The Family Grapevine C.i.c.",Active
07220963,"The Farm Carbon-Cutting Toolkit Community Interest Company",Active
06936651,"The Farm Energy Project Community Interest Company",Active
07538577,"The Fig Tree (Garstang) C.I.C.",Active
05877128,"The Film Agency for Wales/Asiantaeth Ffilm Cymru CBC",Active
07427981,"The Film Factory C.I.C.","Active - Proposal to Strike off"
07650359,"The Financial Literacy Community Interest Company",Active
07022654,"The Flexible Thinking Forum Community Interest Company",Active
07482825,"The Flica Trust Community Interest Company",Active
07096075,"The Fluent Self C.i.c",Active
06226374,"The Fold Bransford Community Interest Company",Active
07266662,"The Folkestone Leas Lift CIC",Active
05209120,"The Food Chain (North East) Community Interest Company",Active
08051665,"The Food Gardens, C.I.C.",Active
04792627,"The for All Healthy Living Company CIC",Active
07313270,"The Foundation for Families Community Interest Company",Active
06781079,"The Fredome Visionary Trust Cic",Active
07607363,"The Freedom Arts Project C.i.c.",Active
05994867,"The Freewheelers Theatre Company Community Interest Company","Active - Proposal to Strike off"
06625124,"The Friends of the Maden Centre Community Interest Company",Active
07422735,"The Funding Specialist Cic",Active
07282511,"The Future Melting Pot C.I.C.",Active
05810356,"The Games City Community Interest Company","Active - Proposal to Strike off"
07392040,"The Gap Creative Community Interest Company",Active
06156629,"The Gardens Gallery CIC",Active
07325501,"The Gate Darkroom C.I.C.",Active
07538664,"The Gender Identity Coalition Community Interest Company",Active
07264296,"The Gentleways Community Interest Company",Active
07774072,"The Gifted Project CIC",Active
SC375439,"The Glad Cafe C.I.C.",Active
06577129,"The Global Citizenship Project Community Interest Company",Active
06923720,"The Gloucester Theatre Community Interest Company",Active
SC392954,"The Glue Factory CIC",Active
07231949,"The Gold Standards Framework Centre C.I.C.",Active
06508953,"The Golden Planet Project Community Interest Company",Active
07450843,"A Good Life for All CIC",Active
NI601254,"The Grand Picture House C.i.c",Active
07565396,"The Great North Resource Community Interest Company",Active
06458727,"The Green Centre Community Interest Company",Active
SC314531,"The Green Door Studio Community Interest Company",Active
07425139,"The Green Dreams Project CIC",Active
05879359,"The Green Firm CIC",Active
07400698,"The Green Office Co-Op CIC",Active
06893039,"The Green Room Performing Arts CIC","Active - Proposal to Strike off"
06889229,"The Green Valleys (Wales) Community Interest Company",Active
SC393509,"The Greenhouse Shop Community Interest Company",Active
06601792,"The Greenwood Project Community Interest Company",Active
06956425,"The Grenville Battery Trust Community Interest Company",Active
08038088,"The Grow Team (Bridport) Community Interest Company",Active
07677387,"The Growing Project CIC",Active
06515957,"The Guild of Professional Healers CIC",Active
07623432,"The Guild Social Economy Services C.I.C.",Active
07708669,"The Handsel Project CIC",Active
07837878,"The Harbour Ward Community Garden CIC",Active
07713569,"The Harvest Centre Community Interest Company",Active
07888354,"The Haven Enterprise Company C.I.C.",Active
07823768,"The Haven Nation CIC",Active
05081953,"The Haven Project CIC",Active
06677960,"The Hayfield Centre Community Interest Company",Active
06684694,"The Hayshed Experience C.i.c",Active
07506491,"The Haywards Heath Community CIC",Active
06292954,"The Healing Clinic Community Interest Company",Active
07272074,"The Healing House for Health & Well Being Community Interest Company",Active
07714896,"The Healing Sanctuary Organisation Cic",Active
07903422,"The Health and Work Community Interest Company",Active
06596612,"The Healthy Hub Community Interest Company","Active - Proposal to Strike off"
07553201,"The Healthy Living Centre Community Interest Company",Active
07967649,"The Hebden Therapy Centre C.I.C.",Active
06501583,"The Hellenic Centre Community Interest Company",Active
07582947,"The Hemingford Garden Room CIC",Active
06953918,"The Hengistbury Centre Community Interest Company",Active
07517880,"The Hercules Programme CIC",Active
06056798,"The Hiv Training and Resource Initiative Community Interest Company",Active
07708693,"The Hive Activities Community Interest Company",Active
06038394,"The Honeycomb Project Community Interest Company","Active - Proposal to Strike off"
06634452,"The Hop Garden C.i.c",Active
07719001,"The Horizons Community Learning CIC",Active
07581973,"The Hub Stourbridge CIC",Active
07358159,"The Hub-Yeovil CIC",Active
06882579,"The Humane Touch Community Interest Company",Active
07340532,"The Ida Foundation C.i.c.",Active
05272696,"The Ideas Mine Community Interest Company",Active
07669591,"The Imaginary Beings C.i.c.",Active
07445371,"The Indra Congress Community Interest Company",Active
07434378,"The Innovation Consortium CIC",Active
07167423,"The Inside Out Art Projects Community Interest Company",Active
06911919,"The Invisible Circus Community Interest Company",Active
06677805,"The It Zone (NW) CIC",Active
SC394304,"The Jack and Jill Market CIC",Active
07675188,"The Jewellery Quarter Development Trust CIC",Active
06812065,"The Jewish Human Rights Coalition UK Community Interest Company",Active
SC298103,"The Just World Shop Community Interest Company",Active
07761069,"The Karavan Ensemble CIC",Active
06990137,"The Kensington and Fairfield Voice Community Interest Company",Active
06478318,"The Kitchen Table Cafe Community Interest Company",Active
06878152,"The Kneehigh Asylum Community Interest Company",Active
07019068,"The Lateef Project Community Interest Company",Active
07466791,"The Laumedal Covenant Community Interest Company",Active
07495536,"The Learning and Skills Zone Cic","Active - Proposal to Strike off"
07540021,"The Learning Collective Community Interest Company",Active
06335034,"The Learning Journey (Resettlement) C.i.c",Active
07479553,"The Learning Social Enterprise CIC",Active
07715025,"The Leeds Music Hub CIC",Active
08009859,"The Legacy Nursery Community Interest Company",Active
07592831,"The Leicester Enterprise Club UK CIC",Active
07952149,"The Lenox Project CIC",Active
05865390,"The Leominster Pavilion Community Interest Company",Active
06971712,"The Lewes Pound Community Interest Company",Active
07434236,"The Library Alliance Community Interest Company",Active
06528575,"The Life Foundation CIC",Active
05951483,"The Life Project CIC","Active - Proposal to Strike off"
07444875,"The LSN CIC",Active
07986359,"The Linchpin Project C.I.C.",Active
07635348,"The Link (Redcar) CIC",Active
06493915,"The Little Green House C.I.C.","Active - Proposal to Strike off"
07254989,"The Liverpool Coaching Company Cic","Active - Proposal to Strike off"
07657226,"The Liverpool Medical Homeopathy Service CIC",Active
SC352785,"The Local Hub Community Interest Company","Active - Proposal to Strike off"
07825860,"The Locality Health Centre CIC",Active
06945893,"The London Anti-Crime Education Scheme (Laces) Community Interest Company",Active
05870025,"The London Bus Theatre CIC",Active
06377916,"The London Trading Standards Association Community Interest Company",Active
07640622,"The Lovely Foundation CIC",Active
07583663,"The Low Carbon Hub C.I.C.",Active
07553337,"The M.e, CFS and Fibromyalgia Recovery Association C.I.C.",Active
06414209,"The M.u.s.e. Project Community Interest Company",Active
07645417,"The Magic If Foundation Community Interest Company",Active
07801577,"The Magic Wardrobe C.I.C.",Active
07738653,"The Manor Gym CIC",Active
07365204,"The Margate Society CIC",Active
06911818,"The Mathew Mizen Foundation Community Interest Company",Active
07899297,"The Maze Marketing and Events Services Cic",Active
07592789,"The Mazhar Sheikh Foundation Cic",Active
SC418232,"The Medicine Pony Centre Cic",Active
06966820,"The Meditation Foundation Community Interest Company",Active
07122270,"The Melbourne Centre CIC",Active
07300651,"The Melting Pot Leeds Community Interest Company",Active
06977668,"The Mentoring Initiative (Tmi) CIC","Active - Proposal to Strike off"
SC423926,"The MFL Community Project CIC",Active
07394958,"The Midlands Gathering CIC",Active
07911290,"The Mighty Match C.I.C.","Active - Proposal to Strike off"
06285571,"The Milkmaid Folk Arts Centre Community Interest Company",Active
07259466,"The Mindful Community Cic",Active
07479924,"The Mindful Leadership Foundation CIC","Active - Proposal to Strike off"
07863516,"The Mindful Policy Group Cic",Active
06974970,"The Minerva Foundation Community Interest Company","Active - Proposal to Strike off"
06775916,"The Ministry of Parenting Community Interest Company",Active
07089768,"The Mires Mor Project CIC",Active
07342440,"The Misfits Theatre Company C.I.C.",Active
06811797,"The Modernist Society CIC",Active
08028697,"The Momentum Project CIC","Active - Proposal to Strike off"
07579222,"The Monty Youth & Community Organisation CIC",Active
07920164,"The Motorcycling Wales Tourism Group C.I.C.","Active - Proposal to Strike off"
07518163,"The Mount Residents CIC",Active
07555795,"The Mpower Foundation Cic","Active - Proposal to Strike off"
07307768,"The Music Well Community Interest Company",Active
07844693,"Hope's Stars CIC",Active
07577687,"The Narrative Initiative Community Interest Company",Active
07856984,"The National Social Marketing Centre CIC",Active
06847479,"The Natural Cycle Company Community Interest Company",Active
07694407,"Health Hub Bristol CIC",Active
07544187,"The Nature Effect Community Interest Company",Active
07541548,"The Neighbourhood Shop Cic",Active
07610792,"The New Carnival Company CIC",Active
06975241,"The Newmarket Festival Community Interest Company",Active
06223751,"The Next Generation Project Community Interest Company",Active
07103404,"The Nine Ministries Cic",Active
07518090,"The NLP Works Foundation Cic","Active - Proposal to Strike off"
07851673,"The Non Profit Community Interest Company",Active
07384449,"The Nottingham Workshop CIC",Active
07814715,"The Nude Ewe Conservation Wools C.I.C.",Active
06798012,"The NXT Generation Community Interest Company","Active - Proposal to Strike off"
06551468,"The Oaks Pre-School Community Interest Company",Active
07530940,"The Old Milk Float Cic","Active - Proposal to Strike off"
07021486,"The Old Windsor Community Interest Company",Active
07447816,"The Open Hand Project Community Interest Company",Active
05849477,"The Open Toy Box C.I.C.",Active
07759022,"The Orchard Medical Practice C.I.C.",Active
07419301,"The Orphanage C.i.c.",Active
07480676,"The Outdoor Adventure Club CIC",Active
07178817,"The Outdoor Club CIC","Active - Proposal to Strike off"
06436636,"The Paperback Project Community Interest Company",Active
07742243,"The Pavilion (Bentley) C.I.C.",Active
05585576,"The Pavilion East Cowes Community Interest Company",Active
07642381,"The Peer Support Enterprise Cic",Active
07930391,"The People Hub Network Community Interest Company",Active
07420377,"The People's Food Company CIC",Active
05780704,"The Performers Project Community Interest Company",Active
07414257,"The Pet Education Trust CIC",Active
06369607,"The Philosophy Shop CIC",Active
06275797,"The Pierian Centre Community Interest Company",Active
07863480,"The Pilot Partnership Community Interest Company",Active
07792242,"The Pink Cow Project Cic",Active
07063764,"The Pioneer Provision CIC",Active
06708624,"The Play's the Thing Theatre Company Community Interest Company",Active
07096096,"The Ploughman Trust Community Interest Company",Active
07783472,"The Poetry Slam CIC",Active
07899020,"The Polish School in Bedford CIC",Active
SC370199,"The Pool - Dtas Consultancy C.i.c",Liquidation
07952196,"The Porridge Tree C.i.c.",Active
00288977,"The Post Office Fellowship of Remembrance C.i.c",Active
07632189,"The Postport Office C.i.c.",Active
02538908,"Independent Press Standards Organisation C.I.C.",Active
05440283,"The Project Group (Oswestry) C.i.c",Active
07565848,"The Pump Cafe CIC",Active
SC420391,"The Raft Edinburgh C.I.C.",Active
06252860,"The Rainbow Collective Cic",Active
06458744,"The Rainbow Community Cafe CIC",Active
05912629,"The Rame Peninsula Trust Community Interest Company",Active
07171350,"The Real Media (UK) Community Interest Company",Liquidation
06815832,"The Really Wild Community Interest Company",Active
08079166,"The Recruitment Industry Social Enterprise (Rise) Cic",Active
07261950,"The Red Dog Film Community Interest Company",Active
07765550,"The Renaissance Project Cic",Active
06876905,"The Renewable Energy Experts CIC","Active - Proposal to Strike off"
06794841,"The Rettendon Community Academy Community Interest Company",Active
07971582,"The Revival Hub CIC",Active
06720847,"The Revolution Andover Community Interest Company",Active
06995390,"The Rhombus Forum Community Interest Company",Active
SC421936,"The Ridge (Scotland) CIC",Active
06285708,"The Right Pathway CIC",Active
08049858,"The Rollinson Foundation CIC","Active - Proposal to Strike off"
06939590,"The Saints Foundation Community Interest Company",Active
07952057,"The Sammasati Project C.I.C.",Active
06433818,"The Sandycroft Wellbeing Centre Community Interest Company",Active
06113547,"The Saxmundham & District Community Interest Company",Active
03336538,"The School of Sound C.I.C.",Active
06708868,"The Screen Community Community Interest Company",Active
06775262,"The Sculpture Workshop Community Interest Company",Active
06230379,"The Seagull Lowestoft Community Interest Company",Active
07253111,"The Severn Project CIC",Active
05834406,"The Share Initiative CIC",Active
06129620,"The Shared Success Community Interest Company",Active
07739199,"The Shropshire Consortium CIC",Active
08050001,"The Sixteen-Twenty Four Alliance CIC",Active
08032196,"The Skate House CIC",Active
08023476,"The Small Business Consultancy Leicester CIC","Active - Proposal to Strike off"
07541518,"The Smithy Studios Community Interest Company",Active
05572606,"The Soap Co (Keswick) C.I.C.",Active
05727586,"The Social Investment Market Community Interest Company",Active
05994532,"The Social Welfare Rights Community Interest Company",Active
07027506,"The Social Work Chambers Cic",Active
06838896,"The Social Work Co-Operative Community Interest Company",Active
07703136,"Horn Investment Development C.I.C.",Active
05717494,"The Soul Project Community Interest Company",Liquidation
07156507,"The Sound Hive Cic",Active
06505443,"The Source Coffee Shop Community Interest Company",Active
07384571,"The Source Point Community Shiatsu Clinic Community Interest Company",Active
06611726,"The South West Learning for Sustainability Coalition Community Interest Company",Active
07491804,"The Spark Project C.i.c.",Active
SC412580,"The Spectrum Club Scotland Community Interest Company","Active - Proposal to Strike off"
06596982,"The Sport Business C.i.c",Active
07423831,"The Stable Company (Cheltenham) Community Interest Company",Active
06431945,"The Stable Trading Company (Whalley) Cic",Liquidation
05760942,"The Star and Shadow Cinema Community Interest Company",Active
06887287,"The Star Foundation UK Community Interest Company","Active - Proposal to Strike off"
07407846,"The Stoke on Trent & Staffordshire Safer Communities Community Interest Company",Active
06080233,"The Stone Soup Project Community Interest Company",Active
06976514,"The Story Ladies C.i.c",Active
06735733,"The Strawberry Line Cafe Project Community Interest Company",Active
07525761,"The Street Outreach Project Cic",Active
05988578,"The Studio @ Community Interest Company",Active
04818227,"Firm Foundations for Children and Adolescents C.I.C.",Active
07091233,"The Sunday Painter C.i.c",Active
03011581,"The Super Station Orkney CIC",Active
07670597,"The Sustain Network CIC",Active
07978718,"The Sustain Theatre CIC",Active
06881877,"The Sustainable Coppice Partnership Community Interest Company",Active
05979334,"The Sustainable Environment Company CIC",Active
07028227,"The Sustainable Health Partnership Community Interest Company",Active
07774279,"The Sustainable Home Survey Company C.I.C.",Active
07799601,"The Sustainable Urban Foods Project C.i.c.",Active
05831019,"The Ten Pound Challenge C.I.C.","Active - Proposal to Strike off"
07594403,"The Therapy Place Cic",Active
07484993,"The Think Creatively Community Interest Company",Active
07545733,"The Think Life Organisation C.I.C.",Active
05741085,"The Thornhill Centre Community Interest Company",Active
05238501,"The Threshold Cohousing Centre Community Interest Company",Active
06397210,"The Totnes Rickshaw Company CIC",Active
06895181,"The Touchstone Foundation Community Interest Company",Active
07946288,"The Training Factor Cic",Active
06955211,"The Training Grid CIC",Active
07873742,"The Training Now Company CIC","Active - Proposal to Strike off"
SC269132,"The Travel Division Community Interest Company","Active - Proposal to Strike off"
07425789,"The Trust Team Community Interest Company",Active
07897040,"The TV Collective C.I.C.","Active - Proposal to Strike off"
07165858,"The Tyne and Tweed Project Community Interest Company",Active
07533934,"The Ukrc C.I.C.",Active
08044770,"The Unique Solutions Project CIC","Active - Proposal to Strike off"
06453996,"The Unstoppable Teen Foundation Cic",Active
07263311,"The Urban Cycle Centre CIC",Active
07572918,"The Very Enterprising Community Interest Company",Active
07253088,"The Vine Interventions CIC",Active
07912842,"The Virtual Competence Centre for 3d C.I.C.",Active
07374719,"The Voice (North Devon) C.I.C.",Active
06786078,"The Voice in the City Community Interest Company",Active
06967248,"The Voluntary Initiative Community Interest Company",Active
06765420,"The Wall Corner Community Interest Company",Active
06541841,"The Walled Garden Workshop C.i.c",Active
06732629,"The Walpole's Shop Community Interest Company",Active
07449156,"The Warren Trust CIC",Active
07477514,"The Wash Partnership Cic","Active - Proposal to Strike off"
07489189,"The Wave Project CIC",Active
07385536,"The We Ride Too Academy Cic","Active - Proposal to Strike off"
07414253,"The Welfare Advice Service CIC","Active - Proposal to Strike off"
07362903,"The Well Warrington Network Community Interest Company",Active
05888474,"Wellbeing Enterprises CIC",Active
07586738,"The Wellbeing Service C.i.c.",Active
07898756,"The Wellspring (Shropshire) Cic",Active
07567224,"The West London Research Network Community Interest Company",Active
06409182,"The Weyhill Fairground Craft & Design Centre C.i.c",Active
06043117,"The Wheeler Street Corporation C.I.C.",Active
08018992,"The Willow Festival C.I.C.",Active
07956388,"The Willow Oswestry C.I.C.",Active
07837930,"The Windfall Project CIC",Active
07948302,"The Wisdom Factory CIC",Active
07029056,"The Woodland Burial Trust CIC",Active
06613508,"The Workforce Development Company Community Interest Company",Active
07505022,"The Worx - Dance Theatre Arts Community Interest Company","Active - Proposal to Strike off"
06036496,"The Yard Project Community Interest Company",Active
07624265,"The You Can Hub CIC",Active
07929940,"The Youth & Community Partnership CIC",Active
07553479,"Thedesign CIC",Active
06711012,"Thejuiceproject.com C.i.c",Liquidation
06702509,"Thempra Social Pedagogy C.i.c",Active
05754156,"Thepeoplespower C.I.C.",Active
08089364,"Therapeia (Cornwall) C.I.C.",Active
SC420078,"Therapy and Music Infusion Cic",Active
07690101,"Thetford Healthcare C.I.C.",Active
08010643,"Thewayforward Teens C.I.C.","Active - Proposal to Strike off"
07582515,"Think Forward C.I.C.",Active
07092888,"Think Social Care Community Interest Company",Active
07698698,"Thinkalink Enterprises Community Interest Company",Active
07884906,"Thinking 4ward C.i.c.",Active
06361946,"Thinking Rural Community Interest Company",Active
06874320,"Thinkingware Community Interest Company",Active
08018484,"Third Angel Entertainment C.I.C.",Active
07758140,"Third Cloud Community Interest Company",Active
07727917,"Third Sector Enterprise Consortium C.i.c.",Active
07156590,"Third Sector Essentials Community Interest Company","Active - Proposal to Strike off"
06883956,"Third Sector Futures Community Interest Company","Active - Proposal to Strike off"
06931107,"Third Way Community Interest Company",Active
07744034,"Thirds Design Community Interest Company",Active
06496891,"Communities First Southern Africa CIC",Active
07336078,"This Is Brick Box CIC",Active
07870485,"This Is Cirrus Community Interest Company",Active
07594293,"This Is Rubbish C.I.C.",Active
07189714,"Thita (the Hertfordshire Interpreters and Translators Association) Community Interest Company",Active
06318189,"Thornbury Youth Community Interest Company",Active
06478739,"Thorne Brewery Community Interest Company",Liquidation
07914507,"Thorntree Work Club Community Interest Company",Active
06820837,"Three Rings CIC",Active
07027459,"Three Score Years and Ten CIC",Active
07186998,"Threlkeld Community Coffee Shop Community Interest Company",Active
06846051,"Thrive and Grow Community Interest Company",Active
07481463,"Throwe & Cache Cic",Active
07657394,"First Employment C.I.C.","Active - Proposal to Strike off"
08080785,"Thurrock C.o.a.c.h. Network CIC",Active
07939642,"Thurrock International Film Festival C.I.C.",Active
06152341,"Thurrock Lifestyle Solutions CIC",Active
07446561,"Thyme Out CIC",Active
07978850,"Tia Emma Bilingual Nursery C.i.c.",Active
07924945,"Tiagi Community Interest Company",Active
06496796,"Tick the Publicity Box CIC",Active
07249209,"Tickbird Community Interest Company","Active - Proposal to Strike off"
NI611034,"Ticket Frog C.I.C.","Active - Proposal to Strike off"
06618402,"Tiddlywinks Preschool GT Horkesley Community Interest Company",Active
07260419,"Taste Tideswell Education C.I.C.",Active
06569694,"Tidnor Wood Orchards Community Interest Company",Active
07499813,"Tiki Taka Football Academy Cic",Active
07201755,"Tillingbourne Valley Sports Association CIC",Active
07535501,"Tim Bradbury Sensory Consultancy CIC",Active
07513237,"Time & Place Community Interest Company",Active
07896221,"Time 4 Me (in the Community) CIC",Active
06576195,"Time for Change Counselling C.i.c",Active
07235643,"Time Out Community Care Cic",Active
07280378,"Time2 Communities CIC",Active
06995738,"Time2talk4children Community Interest Company",Active
07648250,"Timeloop Productions C.i.c.",Active
07303014,"Tiny Carbon Feet Travel Community Interest Company","Active - Proposal to Strike off"
07404078,"Tips4choices CIC",Active
05230497,"Tipton Toddlers C.I.C.",Active
SC422182,"Tiree Music Festival C.I.C.",Active
07564741,"TJ Kids Community Interest Company",Active
SC352158,"TLC Borders C.i.c",Active
07969487,"TLC Out of School Care Community Interest Company",Active
06952081,"To Hatch C.I.C.",Active
07869293,"Together All Are Able Community Interest Company",Active
06011928,"Together in Communication CIC",Active
07720615,"Together We Make a Difference Community Interest Company",Active
06258093,"Together Works Community Interest Company","Active - Proposal to Strike off"
07819542,"Together4health CIC",Active
06630681,"Tollesbury Pre-School Community Interest Company",Active
07183247,"Tolsam UK CIC","Active - Proposal to Strike off"
06842390,"Tom's Farm Community Interest Company",Active
07288895,"Tonic Theatre C.I.C.",Active
NI072588,"Tonnta Community Interest Company",Active
07848561,"Toolbox (London) Community Interest Company",Active
06275932,"Top Careers Community Interest Company",Active
07863291,"Topaz Social Work Community Interest Company",Active
06781733,"Topps for the Community CIC",Active
07964305,"Tor Homes 2012 CIC",Active
SC391169,"Torque Festival Cic",Active
06645913,"Total Care Support Solutions Community Interest Company",Active
07330647,"Total Inclusion Community Interest Company",Active
07284484,"Total Reuse CIC",Active
07266637,"Total Sports Foundation C.I.C.",Active
06057334,"Totally Transport Community Interest Company",Active
07750166,"Totley Independent Community Interest Company",Active
07637179,"Totnesfm CIC",Active
SC370305,"Toto Tales Community Interest Company",Active
07140902,"Tots and Toddlers Cic",Active
07331526,"Tottenham Hale International Studios C.I.C.",Active
08068096,"Toucan for Children CIC",Active
07641771,"Touch of Life Dance Crew C.I.C.",Active
07300342,"Touchbase Project Community Interest Company",Active
07964007,"Touche Music Production Cic",Active
07525361,"Touchedtheatre CIC",Active
08056942,"Touching Lives Forever CIC",Active
07858769,"Touchstones Support CIC",Active
07735004,"Touretteshero CIC",Active
07509559,"Tourism Leominster Community Interest Company",Active
06045422,"Tous Ensemble Community Interest Company","Active - Proposal to Strike off"
06527777,"Towards Maturity Community Interest Company",Active
06386115,"Tower House Counselling Cic",Active
07794637,"Town and Village Enablers Cic",Active
07485628,"Toxteth Education Centre Cic","Active - Proposal to Strike off"
07442656,"Track Academy Community Interest Company",Active
SC346232,"Trade Right International C.i.c",Active
07422637,"Trade4life Community Interest Company",Active
SC375912,"Traditional Arts Development Community Interest Company",Active
07412857,"Traditional Martial Artists C.i.c.",Active
07978838,"Trafford Legal Advice C.i.c.",Active
